location_id ,city,destination,index,image_url
36,Dolpa,Putha Hiuchli,61,https://www.datocms-assets.com/55179/1647374924-ascent-putha-hiunchuli-nepal.png
37,Dolpa,Shey Gompa,62,https://www.newgenerationtrek.com/uploads/post_gallery/upper-dolpo-shey-gompa-trek-21552556580.jpg
38,Dolpa,Upper Dolpo,63,https://www.mountainlayerstrek.com/wp-content/uploads/2019/09/upper-dolpo-jomsom-trek-1-Copy-990x490.jpg
30,Mustang,Upper Mustang,34,https://nepalecoadventure.com/wp-content/uploads/2019/09/14-days-Upper-Mustang-Trek-2.jpg
40,Mustang,Thorong la,35,https://aasraecotreks.com.np/wp-content/uploads/2018/09/thorong-la.jpg
41,Lumbini,Bardiya National park,48,https://tigerencounter.com/wp-content/uploads/2019/11/Bardia-National-Park-1536x768.jpg
42,Lumbini,Maya devi temple,49,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/65/06/f7/the-main-maya-devi-temple.jpg?w=1200&h=-1&s=1
43,Lukula,Everest treck,70,https://explorerspassage.com/wp-content/uploads/2021/12/everest-base-camp-trek-1-scaled.jpg
44,Kathmandu,Narayanhiti palace museum,7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/08/23/e9/img-20160909-152705-largejpg.jpg?w=1200&h=-1&s=1
45,Kathmandu,Thamel,6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/78/aa/e2/this-photo-of-thamel.jpg?w=800&h=-1&s=1
46,Kathmandu,Newroad,5,http://bossnepal.com/wp-content/uploads/newroad.jpg
47,Kathmandu,Hanuman Dhoka,4,https://www.theclassicoutdoors.com/blog/wp-content/uploads/2017/04/Kathmandu_Darbar.jpg
48,Gorkha,Manakamana,66,https://content.sharesansar.com/photos/FEB12/NewFolder/NewFolder/NewFolder/NewFolder/Manakamana1.jpg
49,Gorkha,Gorkha Palace,67,https://www.forevernepal.com/uploads/images/202202/image_750x_61facb75a279b.jpg
50,Kathmandu,Chandagiri,3,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/fe/99/8d.jpg
51,Dharan,Nameste fall,75,https://www.holidify.com/images/cmsuploads/compressed/3729403856_453b9454a0_k1_20191021152205_20191021152229.jpg
52,Dharan,Dharan city,76,https://nepaltrekking.com/wp-content/uploads/2019/04/99999-975x540.jpg
53,Ilam,Ilam tea garden,77,https://thehimalayantimes.com/uploads/imported_images/wp-content/uploads/2016/06/Tea-garden-in-Ilam.jpg
54,Ilam,Ilam view tower,78,https://www.summithotelillam.com/assets/img/news-details/illamviewtower2.jpg
55,jhapa,jhapa city,80,https://nepaltraveller.com/uploads/destination/damak.jpg
56,jhapa,funpark,81,http://happylandfunpark.com.np/wp-content/uploads/2020/12/IMG-20201205-WA0034-1024x682.jpg
57,Biratnagar,Biratnagra city,82,https://www.pigeontravels.com/wp-content/uploads/2018/11/biratnagar-gate-23062017082627-1000x0.jpg
58,Biratnagar,Koshi river,83,https://www.hlimg.com/images/things2do/738X538/Koshi_or_Kosi_River_Nepal_tributary_of_Ganges_River_in_Bihar_India_1516020100t.jpg
59,Biratnagar,Basantapur,84,"https://res.cloudinary.com/thrillophilia/image/upload/c_fill,f_auto,fl_progressive.strip_profile,g_auto,h_600,q_auto,w_auto/v1/filestore/nyupgedz0hc87zqm7sbaqsocys2b_8528433975_afe366c975_b.jpg"
60,Kathmandu,Trishuli river,2,https://thehimalayantimes.com/uploads/imported_images/wp-content/uploads/2016/03/Rafting-in-Trishuli-River.jpg
